순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,러닝타임,평점,감독
118,투사부일체,2006-01-19,"31,949,667,000","5,073,037",407,"54,332",한국,한국,씨제이엔터테인먼트,코미디,124분,5.69,김동원
119,쿵푸팬더 2,2011-05-26,"44,310,427,500","5,064,796",948,"101,447",미국,미국,(주)씨제이이엔엠,애니메이션,91분,8.71,여인영
120,독전,2018-05-22,"43,491,762,113","5,064,323","1,532","140,052",한국,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,123분,8.42,이해영
121,추격자,2008-02-14,"33,986,959,000","5,046,096",433,"106,805",한국,한국,(주)쇼박스,범죄,123분,9.09,나홍진
122,아쿠아맨,2018-12-19,"44,145,008,504","5,041,187","1,285","105,440",미국,"미국,호주",워너브러더스 코리아(주),액션,143분,8.77,제임스 완
123,공작,2018-08-08,"42,795,690,816","4,975,517","1,317","99,122",한국,한국,(주)씨제이이엔엠,드라마,137분,7.86,윤종빈
124,인사이드 아웃,2015-07-09,"38,055,237,936","4,972,640",931,"84,307",미국,미국,월트디즈니컴퍼니코리아(주),애니메이션,102분,9.05,피트 닥터
125,킹스맨: 골든 서클,2017-09-27,"40,987,484,736","4,945,484","1,687","95,922",미국,"미국,영국",이십세기폭스코리아(주),액션,141분,8.61,매튜 본
126,바람과 함께 사라지다,2012-08-08,"34,614,720,161","4,909,950",694,"78,594",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,121분,7.6,김주호
127,더 퍼스트 슬램덩크,2023-01-04,"51,307,749,605","4,903,225","1,060","238,845",일본,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,124분,9.25,이노우에 다케히코
128,하얼빈,2024-12-24,"46,824,087,480","4,896,237","2,125","196,114",한국,한국,(주)씨제이이엔엠,드라마,114분,8.09,우민호
129,마션,2015-10-08,"39,702,034,175","4,887,144","1,132","115,967",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",모험,144분,8.72,리들리 스콧
130,토르: 라그나로크,2017-10-25,"39,261,266,595","4,858,572","1,640","137,496",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,130분,9.03,타이카 와이티티
131,어메이징 스파이더맨,2012-06-28,"41,165,656,235","4,853,273","1,118","92,766",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,136분,7.79,마크 웹
132,"님아, 그 강을 건너지 마오",2014-11-27,"37,367,033,579","4,803,592",806,"93,599",한국,한국,"CGV아트하우스,(주)대명문화공장",다큐멘터리,86분,9.16,진모영
133,봉오동 전투,2019-08-07,"40,593,934,038","4,788,155","1,476","107,056",한국,한국,(주)쇼박스,액션,135분,9.07,원신연
134,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,842,409,500","4,786,369",632,"84,145",한국,한국,(주)쇼박스,코미디,115분,8.12,김석윤
135,군도: 민란의 시대,2014-07-23,"36,992,608,499","4,775,990","1,394","67,261",한국,한국,(주)쇼박스,액션,137분,7.34,윤종빈
136,남산의 부장들,2020-01-22,"41,229,590,550","4,750,859","1,659","140,219",한국,한국,(주)쇼박스,드라마,114분,8.46,우민호
137,라이온 킹,2019-07-17,"41,519,732,430","4,743,295","1,936","126,503",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,118분,8.64,존 파브로
138,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,540,977,500","4,720,172",713,"91,915",한국,한국,(주)쇼박스,범죄,133분,8.67,윤종빈
139,파일럿,2024-07-31,"43,204,079,201","4,718,036","1,956","203,283",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,코미디,111분,7.57,김한결
140,주토피아,2016-02-17,"37,147,956,842","4,711,015",735,"131,453",미국,미국,월트디즈니컴퍼니코리아(주),애니메이션,108분,9.33,바이론 하워드
141,엣지 오브 투모로우,2014-06-04,"38,786,998,201","4,706,213",801,"95,776",미국,미국,워너브러더스 코리아(주),액션,113분,8.74,더그 라이만
142,신세계,2013-02-21,"34,931,269,185","4,690,270",671,"91,865",한국,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,134분,8.94,박훈정
143,신비한 동물사전,2016-11-16,"39,365,960,288","4,669,702","1,431","116,374",미국,"미국,영국",워너브러더스 코리아(주),판타지,132분,8.69,데이빗 예이츠
144,도가니,2011-09-22,"35,570,402,000","4,663,377",754,"88,251",한국,한국,(주)씨제이이엔엠,드라마,125분,9.27,황동혁
145,쿵푸 팬더,2008-06-05,"29,998,156,500","4,654,267",563,"79,901",미국,미국,씨제이엔터테인먼트,애니메이션,92분,9.02,마크 오스본
146,내 아내의 모든 것,2012-05-17,"34,224,467,500","4,598,985",563,"91,777",한국,한국,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,121분,8.59,민규동
147,판도라,2016-12-07,"36,069,197,064","4,585,116","1,184","100,273",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,136분,8.78,박정우
148,스파이더맨 3,2007-05-01,"29,453,324,000","4,582,342",802,"79,616",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,SF,139분,7.47,샘 레이미
149,맘마미아!,2008-09-03,"29,693,828,850","4,579,143",451,"111,812",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),뮤지컬,108분,8.43,필리다 로이드
150,나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124","4,573,902","1,511","113,938",한국,한국,(주)씨제이이엔엠,범죄,114분,8.15,손용호
151,노량: 죽음의 바다,2023-12-20,"45,010,301,375","4,573,647","2,196","155,718",한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",액션,153분,8.24,김한민
152,캐리비안의 해적: 세상의 끝에서,2007-05-23,"29,122,818,500","4,569,391",953,"77,968",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,판타지,168분,8.21,고어 버빈스키
153,가문의 위기,2005-09-07,"28,599,708,500","4,526,455",349,"60,888",한국,한국,(주)쇼박스,코미디,115분,6.33,정용기
154,연가시,2012-07-05,"32,176,550,664","4,516,063",759,"71,932",한국,한국,(주)씨제이이엔엠,드라마,109분,7.16,박정우
155,터미네이터 : 미래전쟁의 시작,2009-05-21,"29,689,831,500","4,499,580",702,"93,738",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,115분,8.19,맥지
156,강철비,2017-12-14,"35,490,646,466","4,452,900","1,426","80,360",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션,139분,8.73,양우석
157,해리 포터와 죽음의 성물2,2011-07-13,"34,950,445,060","4,446,205",757,"73,110",미국,미국,워너브러더스 코리아(주),판타지,131분,9.38,데이빗 예이츠
158,아이언맨 2,2010-04-29,"32,659,489,520","4,426,968",921,"88,308",미국,미국,씨제이엔터테인먼트,SF,125분,8.05,존 파브로
159,다만 악에서 구하소서,2020-08-05,"38,602,897,990","4,357,873","1,998","193,850",한국,한국,(주)씨제이이엔엠,범죄,108분,8.55,홍원찬
160,헌트,2022-08-10,"44,602,463,153","4,352,513","1,625","170,966",한국,한국,플러스엠 엔터테인먼트,액션,125분,8.44,이정재
161,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"34,654,558,766","4,313,871","1,056","82,722",미국,미국,이십세기폭스코리아(주),SF,134분,8.76,브라이언 싱어
162,강철중: 공공의 적 1-1,2008-06-19,"28,638,472,100","4,313,103",707,"74,157",한국,한국,"씨제이엔터테인먼트,(주)시네마서비스",범죄,127분,8.53,강우석
163,아이언맨,2008-04-30,"27,941,118,520","4,306,392",592,"79,076",미국,미국,씨제이엔터테인먼트,SF,125분,9.22,존 파브로
164,아가씨,2016-06-01,"35,221,542,991","4,289,031","1,171","90,394",한국,한국,(주)씨제이이엔엠,스릴러,144분,7.69,박찬욱
165,다크 나이트,2008-08-06,"28,786,695,189","4,283,639",462,"75,782",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",액션,152분,9.58,크리스토퍼 놀란
166,박물관이 살아있다!,2006-12-21,"24,399,290,200","4,244,803",345,"56,497",미국,미국,이십세기폭스코리아(주),액션,108분,8.02,숀 레비
167,가디언즈 오브 갤럭시: Volume 3,2023-05-03,"44,358,441,834","4,209,250","1,819","153,745",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,150분,9.35,제임스 건
168,말아톤,2005-01-27,"26,272,557,000","4,194,959",238,"59,375",한국,한국,(주)쇼박스,드라마,115분,9.23,정윤철
169,어메이징 스파이더맨 2,2014-04-23,"34,869,101,800","4,168,353","1,312","91,715",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,142분,8.06,마크 웹
170,용의자,2013-12-24,"30,037,521,000","4,131,338",807,"69,124",한국,한국,(주)쇼박스,액션,137분,8.27,원신연
171,건축학개론,2012-03-22,"30,252,336,900","4,114,968",593,"106,870",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로/로맨스,118분,8.69,이용주
172,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"26,689,440,000","4,111,753",771,"75,393",미국,미국,씨제이엔터테인먼트,모험,121분,7.46,스티븐 스필버그
173,미이라 3:황제의 무덤,2008-07-30,"26,217,311,000","4,090,885",634,"64,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),모험,111분,5.65,롭 코헨
174,댄싱퀸,2012-01-18,"30,130,775,500","4,058,225",544,"80,987",한국,한국,(주)씨제이이엔엠,코미디,124분,8.86,이석훈
175,7급 공무원,2009-04-22,"26,380,710,000","4,039,891",475,"90,779",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,112분,8.28,신태라
176,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,"40,430,706,769","4,022,291","2,437","137,978",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,액션,163분,8.5,크리스토퍼 맥쿼리
177,우리 생애 최고의 순간,2008-01-10,"26,119,898,000","4,018,872",418,"70,724",한국,한국,(주)싸이더스,드라마,124분,8.57,임순례
178,꾼,2017-11-22,"31,313,568,795","4,018,341","1,314","117,419",한국,한국,(주)쇼박스,범죄,117분,8.32,장창원
179,타짜-신의 손,2014-09-03,"32,373,120,927","4,015,361",890,"80,584",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",드라마,147분,7.77,강형철
180,혹성탈출: 반격의 서막,2014-07-10,"31,514,053,095","4,002,560",956,"72,881",미국,미국,이십세기폭스코리아(주),액션,130분,8.43,맷 리브스
181,쿵푸팬더3,2016-01-28,"31,340,813,156","3,984,814","1,365","97,405",미국,미국,(주)씨제이이엔엠,애니메이션,95분,8.78,여인영
182,캡틴 아메리카: 윈터 솔져,2014-03-26,"31,728,426,385","3,964,965","1,106","110,158",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",액션,136분,8.83,조 루소
183,매드 맥스: 분노의 도로,2015-05-14,"34,094,583,006","3,950,169",799,"106,787",미국,"미국,호주",워너브러더스 코리아(주),액션,120분,8.9,조지 밀러
184,너의 이름은.,2017-01-04,"31,970,488,487","3,928,146",947,"94,475",일본,일본,플러스엠 엔터테인먼트,애니메이션,106분,9.01,신카이 마코토
185,캐리비안의 해적 : 망자의 함,2006-07-06,"23,832,939,000","3,911,617",456,"49,648",미국,미국,브에나비스타인터내셔널코리아,판타지,143분,8.91,고어 버빈스키
186,박수건달,2013-01-09,"28,379,548,569","3,897,969",603,"60,604",한국,한국,(주)쇼박스,코미디,127분,8.13,조진규
187,베놈,2018-10-03,"34,100,211,207","3,888,096","1,308","116,149",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,107분,8.24,루벤 플레셔
188,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428","3,872,015",825,"80,499",한국,한국,(주)쇼박스,코미디,125분,8.07,김석윤
189,소방관,2024-12-04,"36,285,456,670","3,855,122","1,594","162,904",한국,한국,(주)바이포엠스튜디오,드라마,106분,8.13,곽경택
190,역린,2014-04-30,"29,895,031,890","3,849,700","1,054","83,304",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,135분,7.43,이재규
191,콘크리트 유토피아,2023-08-09,"37,413,826,232","3,849,344","1,731","150,920",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,130분,8.19,엄태화
192,남한산성,2017-10-03,"31,225,655,792","3,849,159","1,229","71,117",한국,한국,(주)씨제이이엔엠,드라마,139분,8.17,황동혁
193,반도,2020-07-15,"33,078,694,380","3,812,954","2,575","199,267",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션,116분,7.17,연상호
194,라라랜드,2016-12-07,"31,418,673,078","3,795,641",727,"116,433",미국,미국,판씨네마(주),드라마,127분,8.92,데이미언 셔젤
195,암수살인,2018-10-03,"32,998,321,048","3,789,553","1,177","126,129",한국,한국,(주)쇼박스,범죄,110분,8.58,김태균
196,데드풀 2,2018-05-16,"34,185,664,639","3,784,602","1,576","113,288",미국,미국,이십세기폭스코리아(주),액션,117분,9.09,데이빗 레이치
197,국가부도의 날,2018-11-28,"30,895,253,837","3,755,495","1,180","101,184",한국,한국,(주)씨제이이엔엠,드라마,114분,8.71,최국희
198,쌍화점,2008-12-30,"25,411,823,400","3,749,034",532,"72,498",한국,한국,(주)쇼박스,드라마,133분,7.28,유하
199,신기전,2008-09-04,"24,326,413,000","3,728,440",585,"78,463",한국,한국,씨제이엔터테인먼트,드라마,134분,8.28,김유진
200,비긴 어게인,2014-08-13,"29,573,469,671","3,712,315",525,"104,087",미국,미국,판씨네마(주),드라마,104분,9.12,존 카니
