순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,러닝타임,평점,감독
43,탑건: 매버릭,2022-06-22,"88,408,928,094","8,234,870","1,975","253,112",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,액션,130분,9.59,조셉 코신스키
44,과속스캔들,2008-12-03,"53,801,341,400","8,223,342",408,"145,556",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,108분,9.2,강형철
45,국가대표,2009-07-29,"57,570,773,000","8,035,181",570,"131,671",한국,한국,(주)쇼박스,드라마,137분,9.14,김용화
46,스파이더맨: 파 프롬 홈,2019-07-02,"69,033,177,100","8,023,606","2,142","181,035",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,129분,8.99,존 왓츠
47,디워,2007-08-01,"49,340,084,700","7,855,474",622,"96,439",한국,한국,(주)쇼박스,판타지,90분,7.52,심형래
48,공조,2017-01-18,"63,783,534,886","7,817,686","1,392","142,999",한국,한국,(주)씨제이이엔엠,액션,125분,8.83,김성훈
49,트랜스포머 3,2011-06-29,"74,842,906,588","7,785,189","1,409","124,464",미국,미국,(주)씨제이이엔엠,SF,152분,7.06,마이클 베이
50,히말라야,2015-12-16,"60,175,363,015","7,759,761","1,095","142,715",한국,한국,(주)씨제이이엔엠,드라마,124분,8.67,이석훈
51,스파이더맨: 노 웨이 홈,2021-12-15,"75,198,679,210","7,552,467","2,948","276,710",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,148분,9.09,존 왓츠
52,베테랑2,2024-09-13,"72,474,035,814","7,525,339","2,691","279,673",한국,한국,(주)씨제이이엔엠,액션,118분,6.62,류승완
53,미션임파서블:고스트프로토콜,2011-12-15,"57,302,764,500","7,508,991","1,024","114,770",미국,미국,(주)씨제이이엔엠,액션,132분,8.75,브래드 버드
54,밀정,2016-09-07,"61,270,079,831","7,500,457","1,444","138,162",한국,"한국,미국",워너브러더스 코리아(주),액션,140분,8.57,김지운
55,최종병기 활,2011-08-10,"55,828,707,500","7,470,754",615,"130,054",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,122분,7.87,김한민
56,트랜스포머,2007-06-28,"47,740,418,203","7,405,449",863,"93,109",미국,미국,"롯데컬처웍스(주)롯데엔터테인먼트,씨제이엔터테인먼트",SF,135분,8.6,마이클 베이
57,트랜스포머: 패자의 역습,2009-06-24,"50,699,866,000","7,393,443","1,154","115,150",미국,미국,씨제이엔터테인먼트,SF,149분,8.11,마이클 베이
58,써니,2011-05-04,"54,041,947,200","7,363,487",546,"149,159",한국,한국,(주)씨제이이엔엠,코미디,124분,9.12,강형철
59,한산: 용의 출현,2022-07-27,"73,716,705,377","7,267,007","2,223","217,786",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,액션,129분,8.53,김한민
60,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820","7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,133분,8.83,존 왓츠
61,엘리멘탈,2023-06-14,"71,152,108,486","7,241,486","1,664","247,524",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,109분,8.92,피터 손
62,1987,2017-12-27,"58,175,343,145","7,233,010","1,299","138,238",한국,한국,(주)씨제이이엔엠,드라마,129분,9.32,장준환
63,베를린,2013-01-30,"52,358,372,637","7,166,688",894,"111,760",한국,"한국,독일",(주)씨제이이엔엠,액션,120분,7.85,류승완
64,마스터,2016-12-21,"58,068,236,865","7,150,586","1,501","126,927",한국,한국,(주)씨제이이엔엠,액션,143분,8.65,조의석
65,터널,2016-08-10,"57,530,903,417","7,120,905","1,105","113,215",한국,한국,(주)쇼박스,드라마,126분,8.63,김성훈
66,어벤져스,2012-04-26,"59,644,552,758","7,087,971",967,"112,559",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",액션,142분,8.67,조스 웨던
67,내부자들,2015-11-19,"56,605,193,557","7,073,581","1,129","152,783",한국,한국,(주)쇼박스,범죄,130분,9.06,우민호
68,인천상륙작전,2016-07-27,"55,116,471,303","7,051,660","1,049","97,038",한국,한국,(주)씨제이이엔엠,전쟁,110분,8.55,이재한
69,공조2: 인터내셔날,2022-09-07,"70,918,411,586","6,983,077","2,389","275,817",한국,한국,(주)씨제이이엔엠,액션,129분,7.92,이석훈
70,럭키,2016-10-13,"56,445,477,256","6,975,647","1,234","155,993",한국,한국,(주)쇼박스,코미디,112분,8.76,이계벽
71,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,463",한국,한국,(주)쇼박스,액션,123분,7.13,장철수
72,범죄도시,2017-10-03,"56,322,153,349","6,880,546","1,315","149,389",한국,한국,"플러스엠 엔터테인먼트,(주)키위미디어그룹",액션,121분,9.28,강윤성
73,곡성,2016-05-12,"55,864,308,382","6,879,989","1,485","130,332",한국,"한국,미국",이십세기폭스코리아(주),미스터리,156분,8.23,나홍진
74,화려한 휴가,2007-07-25,"44,098,824,600","6,855,433",551,"96,536",한국,한국,씨제이엔터테인먼트,드라마,125분,7.57,김지훈
75,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,"43,756,029,300","6,686,082",824,"93,583",한국,한국,씨제이엔터테인먼트,액션,139분,7.75,김지운
76,늑대소년,2012-10-31,"46,598,017,400","6,655,501",854,"109,262",한국,한국,(주)씨제이이엔엠,멜로/로맨스,125분,8.66,조성희
77,군함도,2017-07-26,"50,510,565,168","6,592,151","2,027","108,775",한국,한국,(주)씨제이이엔엠,액션,132분,7.35,류승완
78,미션 임파서블: 폴아웃,2018-07-25,"55,923,873,912","6,589,061","1,957","101,820",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,액션,147분,9.15,크리스토퍼 맥쿼리
79,웰컴 투 동막골,2005-08-04,"40,285,363,500","6,430,103",356,"71,968",한국,한국,(주)쇼박스,드라마,133분,8.89,배종
